replicate,treatment,sex,time,mass,rate
r1,1shamfilm,M,35,401,11.45714286
r1,1shamfilm,M,36,354,9.833333333
r1,1shamfilm,M,36,426,11.83333333
r1,1shamfilm,M,36,401,11.13888889
r1,1shamfilm,M,36,419,11.63888889
r1,1shamfilm,M,36,347,9.638888889
r1,1shamfilm,M,36,390,10.83333333
r1,1shamfilm,M,36,343,9.527777778
r1,1shamfilm,M,36,395,10.97222222
r1,1shamfilm,M,36,381,10.58333333
r1,1shamfilm,M,36,356,9.888888889
r1,1shamfilm,M,37,384,10.37837838
r1,1shamfilm,M,37,371,10.02702703
r1,1shamfilm,M,37,337,9.108108108
r1,1shamfilm,M,37,265,7.162162162
r1,1shamfilm,M,37,309,8.351351351
r1,1shamfilm,M,37,390,10.54054054
r1,1shamfilm,M,37,355,9.594594595
r1,1shamfilm,M,40,398,9.95
r1,1shamfilm,M,42,201,4.785714286
r1,1shamfilm,F,35,339,9.685714286
r1,1shamfilm,F,35,467,13.34285714
r1,1shamfilm,F,35,405,11.57142857
r1,1shamfilm,F,35,411,11.74285714
r1,1shamfilm,F,35,459,13.11428571
r1,1shamfilm,F,35,440,12.57142857
r1,1shamfilm,F,36,399,11.08333333
r1,1shamfilm,F,36,407,11.30555556
r1,1shamfilm,F,36,326,9.055555556
r1,1shamfilm,F,36,494,13.72222222
r1,1shamfilm,F,36,389,10.80555556
r1,1shamfilm,F,36,363,10.08333333
r1,1shamfilm,F,36,399,11.08333333
r1,1shamfilm,F,36,398,11.05555556
r1,1shamfilm,F,36,422,11.72222222
r1,1shamfilm,F,36,463,12.86111111
r1,1shamfilm,F,36,382,10.61111111
r1,1shamfilm,F,36,486,13.5
r1,1shamfilm,F,36,419,11.63888889
r1,1shamfilm,F,36,384,10.66666667
r1,1shamfilm,F,36,519,14.41666667
r1,1shamfilm,F,36,327,9.083333333
r1,1shamfilm,F,37,536,14.48648649
r1,1shamfilm,F,39,417,10.69230769
r1,1shamfilm,F,39,511,13.1025641
r1,1shamfilm,F,39,538,13.79487179
r1,1shamfilm,F,39,453,11.61538462
r1,1shamfilm,F,39,501,12.84615385
r1,1shamfilm,F,39,441,11.30769231
r1,1shamfilm,F,40,484,12.1
r1,1shamfilm,F,40,531,13.275
r1,1shamfilm,F,40,369,9.225
r2,1shamfilm,M,35,395,11.28571429
r2,1shamfilm,M,35,382,10.91428571
r2,1shamfilm,M,36,404,11.22222222
r2,1shamfilm,M,36,351,9.75
r2,1shamfilm,M,36,383,10.63888889
r2,1shamfilm,M,36,417,11.58333333
r2,1shamfilm,M,36,417,11.58333333
r2,1shamfilm,M,36,362,10.05555556
r2,1shamfilm,M,36,394,10.94444444
r2,1shamfilm,M,36,362,10.05555556
r2,1shamfilm,M,36,372,10.33333333
r2,1shamfilm,M,36,416,11.55555556
r2,1shamfilm,M,36,342,9.5
r2,1shamfilm,M,37,318,8.594594595
r2,1shamfilm,M,37,391,10.56756757
r2,1shamfilm,M,37,384,10.37837838
r2,1shamfilm,M,37,424,11.45945946
r2,1shamfilm,M,37,411,11.10810811
r2,1shamfilm,M,37,278,7.513513514
r2,1shamfilm,M,37,375,10.13513514
r2,1shamfilm,M,37,326,8.810810811
r2,1shamfilm,M,38,382,10.05263158
r2,1shamfilm,M,38,440,11.57894737
r2,1shamfilm,M,38,320,8.421052632
r2,1shamfilm,M,38,361,9.5
r2,1shamfilm,M,38,420,11.05263158
r2,1shamfilm,M,38,386,10.15789474
r2,1shamfilm,M,39,305,7.820512821
r2,1shamfilm,M,42,483,11.5
r2,1shamfilm,F,34,447,13.14705882
r2,1shamfilm,F,34,378,11.11764706
r2,1shamfilm,F,35,315,9
r2,1shamfilm,F,35,471,13.45714286
r2,1shamfilm,F,35,465,13.28571429
r2,1shamfilm,F,35,421,12.02857143
r2,1shamfilm,F,35,464,13.25714286
r2,1shamfilm,F,35,460,13.14285714
r2,1shamfilm,F,36,462,12.83333333
r2,1shamfilm,F,36,428,11.88888889
r2,1shamfilm,F,36,441,12.25
r2,1shamfilm,F,36,484,13.44444444
r2,1shamfilm,F,36,398,11.05555556
r2,1shamfilm,F,36,447,12.41666667
r2,1shamfilm,F,36,449,12.47222222
r2,1shamfilm,F,36,376,10.44444444
r2,1shamfilm,F,37,385,10.40540541
r2,1shamfilm,F,37,490,13.24324324
r2,1shamfilm,F,39,387,9.923076923
r2,1shamfilm,F,39,563,14.43589744
r2,1shamfilm,F,39,500,12.82051282
r2,1shamfilm,F,40,555,13.875
r2,1shamfilm,F,40,554,13.85
r2,1shamfilm,F,40,580,14.5
r2,1shamfilm,F,41,523,12.75609756
r2,1shamfilm,F,41,592,14.43902439
r2,1shamfilm,F,45,244,5.422222222
r1,shamnofilm,M,38,392,10.31578947
r1,shamnofilm,M,38,379,9.973684211
r1,shamnofilm,M,38,377,9.921052632
r1,shamnofilm,M,38,315,8.289473684
r1,shamnofilm,M,38,337,8.868421053
r1,shamnofilm,M,38,366,9.631578947
r1,shamnofilm,M,39,338,8.666666667
r1,shamnofilm,M,39,390,10
r1,shamnofilm,M,39,268,6.871794872
r1,shamnofilm,M,39,330,8.461538462
r1,shamnofilm,M,39,324,8.307692308
r1,shamnofilm,M,40,303,7.575
r1,shamnofilm,M,40,525,13.125
r1,shamnofilm,M,41,330,8.048780488
r1,shamnofilm,M,43,410,9.534883721
r1,shamnofilm,M,43,444,10.3255814
r1,shamnofilm,M,43,497,11.55813953
r1,shamnofilm,M,43,484,11.25581395
r1,shamnofilm,M,44,455,10.34090909
r1,shamnofilm,M,44,377,8.568181818
r1,shamnofilm,M,44,403,9.159090909
r1,shamnofilm,M,45,401,8.911111111
r1,shamnofilm,F,36,352,9.777777778
r1,shamnofilm,F,36,466,12.94444444
r1,shamnofilm,F,36,452,12.55555556
r1,shamnofilm,F,37,416,11.24324324
r1,shamnofilm,F,37,384,10.37837838
r1,shamnofilm,F,37,492,13.2972973
r1,shamnofilm,F,37,359,9.702702703
r1,shamnofilm,F,37,387,10.45945946
r1,shamnofilm,F,37,503,13.59459459
r1,shamnofilm,F,37,453,12.24324324
r1,shamnofilm,F,37,461,12.45945946
r1,shamnofilm,F,37,430,11.62162162
r1,shamnofilm,F,37,418,11.2972973
r1,shamnofilm,F,38,476,12.52631579
r1,shamnofilm,F,38,425,11.18421053
r1,shamnofilm,F,38,377,9.921052632
r1,shamnofilm,F,38,428,11.26315789
r1,shamnofilm,F,38,362,9.526315789
r1,shamnofilm,F,39,427,10.94871795
r1,shamnofilm,F,41,471,11.48780488
r1,shamnofilm,F,41,558,13.6097561
r1,shamnofilm,F,42,558,13.28571429
r1,shamnofilm,F,42,491,11.69047619
r1,shamnofilm,F,42,451,10.73809524
r1,shamnofilm,F,42,594,14.14285714
r1,shamnofilm,F,42,572,13.61904762
r1,shamnofilm,F,42,612,14.57142857
r1,shamnofilm,F,43,448,10.41860465
r1,shamnofilm,F,43,395,9.186046512
r1,shamnofilm,F,43,539,12.53488372
r1,shamnofilm,F,44,533,12.11363636
r2,shamnofilm,M,36,438,12.16666667
r2,shamnofilm,M,36,370,10.27777778
