replicate,treatment,sex,time,mass,rate
r1,shamfilm,F,35,339,9.685714286
r1,shamfilm,F,35,467,13.34285714
r1,shamfilm,F,35,405,11.57142857
r1,shamfilm,F,35,411,11.74285714
r1,shamfilm,F,35,459,13.11428571
r1,shamfilm,F,35,440,12.57142857
r1,shamfilm,F,36,399,11.08333333
r1,shamfilm,F,36,407,11.30555556
r1,shamfilm,F,36,326,9.055555556
r1,shamfilm,F,36,494,13.72222222
r1,shamfilm,F,36,389,10.80555556
r1,shamfilm,F,36,363,10.08333333
r1,shamfilm,F,36,399,11.08333333
r1,shamfilm,F,36,398,11.05555556
r1,shamfilm,F,36,422,11.72222222
r1,shamfilm,F,36,463,12.86111111
r1,shamfilm,F,36,382,10.61111111
r1,shamfilm,F,36,486,13.5
r1,shamfilm,F,36,419,11.63888889
r1,shamfilm,F,36,384,10.66666667
r1,shamfilm,F,36,519,14.41666667
r1,shamfilm,F,36,327,9.083333333
r1,shamfilm,F,37,536,14.48648649
r1,shamfilm,F,39,417,10.69230769
r1,shamfilm,F,39,511,13.1025641
r1,shamfilm,F,39,538,13.79487179
r1,shamfilm,F,39,453,11.61538462
r1,shamfilm,F,39,501,12.84615385
r1,shamfilm,F,39,441,11.30769231
r1,shamfilm,F,40,484,12.1
r1,shamfilm,F,40,531,13.275
r1,shamfilm,F,40,369,9.225
r2,shamfilm,F,34,447,13.14705882
r2,shamfilm,F,34,378,11.11764706
r2,shamfilm,F,35,315,9
r2,shamfilm,F,35,471,13.45714286
r2,shamfilm,F,35,465,13.28571429
r2,shamfilm,F,35,421,12.02857143
r2,shamfilm,F,35,464,13.25714286
r2,shamfilm,F,35,460,13.14285714
r2,shamfilm,F,36,462,12.83333333
r2,shamfilm,F,36,428,11.88888889
r2,shamfilm,F,36,441,12.25
r2,shamfilm,F,36,484,13.44444444
r2,shamfilm,F,36,398,11.05555556
r2,shamfilm,F,36,447,12.41666667
r2,shamfilm,F,36,449,12.47222222
r2,shamfilm,F,36,376,10.44444444
r2,shamfilm,F,37,385,10.40540541
r2,shamfilm,F,37,490,13.24324324
r2,shamfilm,F,39,387,9.923076923
r2,shamfilm,F,39,563,14.43589744
r2,shamfilm,F,39,500,12.82051282
r2,shamfilm,F,40,555,13.875
r2,shamfilm,F,40,554,13.85
r2,shamfilm,F,40,580,14.5
r2,shamfilm,F,41,523,12.75609756
r2,shamfilm,F,41,592,14.43902439
r2,shamfilm,F,45,244,5.422222222
r1,shamnofilm,F,36,352,9.777777778
r1,shamnofilm,F,36,466,12.94444444
r1,shamnofilm,F,36,452,12.55555556
r1,shamnofilm,F,37,416,11.24324324
r1,shamnofilm,F,37,384,10.37837838
r1,shamnofilm,F,37,492,13.2972973
r1,shamnofilm,F,37,359,9.702702703
r1,shamnofilm,F,37,387,10.45945946
r1,shamnofilm,F,37,503,13.59459459
r1,shamnofilm,F,37,453,12.24324324
r1,shamnofilm,F,37,461,12.45945946
r1,shamnofilm,F,37,430,11.62162162
r1,shamnofilm,F,37,418,11.2972973
r1,shamnofilm,F,38,476,12.52631579
r1,shamnofilm,F,38,425,11.18421053
r1,shamnofilm,F,38,377,9.921052632
r1,shamnofilm,F,38,428,11.26315789
r1,shamnofilm,F,38,362,9.526315789
r1,shamnofilm,F,39,427,10.94871795
r1,shamnofilm,F,41,471,11.48780488
r1,shamnofilm,F,41,558,13.6097561
r1,shamnofilm,F,42,558,13.28571429
r1,shamnofilm,F,42,491,11.69047619
r1,shamnofilm,F,42,451,10.73809524
r1,shamnofilm,F,42,594,14.14285714
r1,shamnofilm,F,42,572,13.61904762
r1,shamnofilm,F,42,612,14.57142857
r1,shamnofilm,F,43,448,10.41860465
r1,shamnofilm,F,43,395,9.186046512
r1,shamnofilm,F,43,539,12.53488372
r1,shamnofilm,F,44,533,12.11363636
r2,shamnofilm,F,36,452,12.55555556
r2,shamnofilm,F,36,399,11.08333333
r2,shamnofilm,F,36,500,13.88888889
r2,shamnofilm,F,36,467,12.97222222
r2,shamnofilm,F,36,456,12.66666667
r2,shamnofilm,F,37,422,11.40540541
r2,shamnofilm,F,37,398,10.75675676
r2,shamnofilm,F,37,417,11.27027027
r2,shamnofilm,F,37,414,11.18918919
r2,shamnofilm,F,37,457,12.35135135
r2,shamnofilm,F,37,341,9.216216216
r2,shamnofilm,F,37,401,10.83783784
r2,shamnofilm,F,37,408,11.02702703
r2,shamnofilm,F,37,452,12.21621622
r2,shamnofilm,F,37,449,12.13513514
r2,shamnofilm,F,37,470,12.7027027
r2,shamnofilm,F,37,417,11.27027027
r2,shamnofilm,F,38,386,10.15789474
r2,shamnofilm,F,38,424,11.15789474
r2,shamnofilm,F,38,514,13.52631579
r2,shamnofilm,F,38,433,11.39473684
r2,shamnofilm,F,38,328,8.631578947
r2,shamnofilm,F,38,415,10.92105263
r2,shamnofilm,F,38,384,10.10526316
r2,shamnofilm,F,39,303,7.769230769
r2,shamnofilm,F,41,435,10.6097561
r2,shamnofilm,F,42,479,11.4047619
r1,1bystfilm,F,36,365,10.13888889
r1,1bystfilm,F,36,402,11.16666667
r1,1bystfilm,F,36,379,10.52777778
r1,1bystfilm,F,36,480,13.33333333
r1,1bystfilm,F,36,433,12.02777778
r1,1bystfilm,F,36,429,11.91666667
r1,1bystfilm,F,36,442,12.27777778
r1,1bystfilm,F,36,495,13.75
r1,1bystfilm,F,37,434,11.72972973
r1,1bystfilm,F,37,474,12.81081081
r1,1bystfilm,F,37,362,9.783783784
r1,1bystfilm,F,37,493,13.32432432
r1,1bystfilm,F,38,483,12.71052632
r1,1bystfilm,F,38,489,12.86842105
r1,1bystfilm,F,40,465,11.625
r1,1bystfilm,F,40,588,14.7
r1,1bystfilm,F,41,553,13.48780488
r1,1bystfilm,F,41,577,14.07317073
r1,1bystfilm,F,41,515,12.56097561
r1,1bystfilm,F,41,565,13.7804878
r1,1bystfilm,F,41,552,13.46341463
r1,1bystfilm,F,42,545,12.97619048
r1,1bystfilm,F,42,428,10.19047619
r2,1bystfilm,F,36,378,10.5
r2,1bystfilm,F,36,420,11.66666667
r2,1bystfilm,F,36,442,12.27777778
r2,1bystfilm,F,36,474,13.16666667
r2,1bystfilm,F,36,412,11.44444444
r2,1bystfilm,F,36,404,11.22222222
r2,1bystfilm,F,36,512,14.22222222
r2,1bystfilm,F,36,449,12.47222222
r2,1bystfilm,F,36,377,10.47222222
r2,1bystfilm,F,36,484,13.44444444
r2,1bystfilm,F,37,348,9.405405405
r2,1bystfilm,F,37,370,10
r2,1bystfilm,F,37,396,10.7027027
r2,1bystfilm,F,37,450,12.16216216
r2,1bystfilm,F,37,615,16.62162162
r2,1bystfilm,F,37,402,10.86486486
r2,1bystfilm,F,37,415,11.21621622
r2,1bystfilm,F,37,381,10.2972973
r2,1bystfilm,F,37,411,11.10810811
r2,1bystfilm,F,37,526,14.21621622
r2,1bystfilm,F,38,535,14.07894737
r2,1bystfilm,F,38,483,12.71052632
r2,1bystfilm,F,38,370,9.736842105
r2,1bystfilm,F,38,448,11.78947368
r2,1bystfilm,F,38,380,10
r2,1bystfilm,F,41,465,11.34146341
r2,1bystfilm,F,41,368,8.975609756
r1,bystnofilm,F,35,410,11.71428571
r1,bystnofilm,F,36,413,11.47222222
r1,bystnofilm,F,36,448,12.44444444
r1,bystnofilm,F,36,431,11.97222222
r1,bystnofilm,F,36,482,13.38888889
r1,bystnofilm,F,36,460,12.77777778
r1,bystnofilm,F,36,417,11.58333333
r1,bystnofilm,F,36,402,11.16666667
r1,bystnofilm,F,36,459,12.75
r1,bystnofilm,F,36,466,12.94444444
r1,bystnofilm,F,37,395,10.67567568
r1,bystnofilm,F,37,438,11.83783784
r1,bystnofilm,F,37,414,11.18918919
r1,bystnofilm,F,37,383,10.35135135
r1,bystnofilm,F,37,409,11.05405405
r1,bystnofilm,F,38,387,10.18421053
r1,bystnofilm,F,38,355,9.342105263
r1,bystnofilm,F,41,503,12.26829268
r1,bystnofilm,F,42,482,11.47619048
r1,bystnofilm,F,42,591,14.07142857
r1,bystnofilm,F,43,469,10.90697674
r1,bystnofilm,F,43,517,12.02325581
r1,bystnofilm,F,43,288,6.697674419
r2,bystnofilm,F,36,499,13.86111111
r2,bystnofilm,F,37,411,11.10810811
r2,bystnofilm,F,37,440,11.89189189
r2,bystnofilm,F,37,477,12.89189189
r2,bystnofilm,F,37,363,9.810810811
r2,bystnofilm,F,37,399,10.78378378
r2,bystnofilm,F,37,434,11.72972973
r2,bystnofilm,F,37,391,10.56756757
r2,bystnofilm,F,37,374,10.10810811
r2,bystnofilm,F,37,486,13.13513514
r2,bystnofilm,F,37,502,13.56756757
r2,bystnofilm,F,37,434,11.72972973
r2,bystnofilm,F,38,370,9.736842105
r2,bystnofilm,F,38,443,11.65789474
