Treatment,Date,Group,Sex,Time,Weight,Growth Rate,Notes,Ctime
sham,oct 3rd,Oct_3_Sham,F,41,443,10.80487805,,-5.362068966
sham,oct 3rd,Oct_3_Sham,F,41,402,9.804878049,,-5.362068966
sham,oct 3rd,Oct_3_Sham,F,42,402,9.571428571,,-4.362068966
sham,oct 3rd,Oct_3_Sham,F,42,451,10.73809524,,-4.362068966
sham,oct 3rd,Oct_3_Sham,F,43,433,10.06976744,,-3.362068966
sham,oct 3rd,Oct_3_Sham,F,43,455,10.58139535,,-3.362068966
sham,oct 3rd,Oct_3_Sham,F,45,605,13.44444444,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,45,461,10.24444444,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,45,546,12.13333333,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,45,430,9.555555556,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,45,454,10.08888889,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,45,463,10.28888889,,-1.362068966
sham,oct 3rd,Oct_3_Sham,F,46,450,9.782608696,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,483,10.5,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,448,9.739130435,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,511,11.10869565,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,509,11.06521739,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,494,10.73913043,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,431,9.369565217,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,495,10.76086957,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,561,12.19565217,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,464,10.08695652,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,505,10.97826087,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,512,11.13043478,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,480,10.43478261,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,503,10.93478261,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,495,10.76086957,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,426,9.260869565,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,449,9.760869565,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,46,474,10.30434783,,-0.362068966
sham,oct 3rd,Oct_3_Sham,F,47,395,8.404255319,,0.637931034
sham,oct 3rd,Oct_3_Sham,F,47,590,12.55319149,,0.637931034
sham,oct 3rd,Oct_3_Sham,F,47,620,13.19148936,,0.637931034
sham,oct 3rd,Oct_3_Sham,F,47,473,10.06382979,,0.637931034
