Group,Sex,Time,Weight,GR
Oct_3_Sham,F,40,329,8.225
Oct_3_Sham,F,41,338,8.243902439
Oct_3_Sham,F,41,346,8.43902439
Oct_3_Sham,F,41,457,11.14634146
Oct_3_Sham,F,41,370,9.024390244
Oct_3_Sham,F,41,405,9.87804878
Oct_3_Sham,F,41,404,9.853658537
Oct_3_Sham,F,41,360,8.780487805
Oct_3_Sham,F,41,333,8.12195122
Oct_3_Sham,F,42,376,8.952380952
Oct_3_Sham,F,42,436,10.38095238
Oct_3_Sham,F,42,453,10.78571429
Oct_3_Sham,F,42,364,8.666666667
Oct_3_Sham,F,42,375,8.928571429
Oct_3_Sham,F,42,324,7.714285714
Oct_3_Sham,F,42,365,8.69047619
Oct_3_Sham,F,42,381,9.071428571
Oct_3_Sham,F,42,363,8.642857143
Oct_3_Sham,F,42,396,9.428571429
Oct_3_Sham,F,42,375,8.928571429
Oct_3_Sham,F,42,343,8.166666667
Oct_3_Sham,F,42,352,8.380952381
Oct_3_Sham,F,42,389,9.261904762
Oct_3_Sham,F,43,509,11.8372093
Oct_3_Sham,F,43,375,8.720930233
Oct_3_Sham,F,43,413,9.604651163
Oct_3_Sham,F,43,459,10.6744186
Oct_3_Sham,F,43,391,9.093023256
Oct_3_Sham,F,43,449,10.44186047
Oct_3_Sham,F,44,367,8.340909091
Oct_3_Sham,F,45,470,10.44444444
Oct_3_Sham,F,46,479,10.41304348
Oct_3_Sham,F,46,527,11.45652174
Oct_3_Sham,F,46,485,10.54347826
Oct_3_Sham,F,46,463,10.06521739
Oct_3_Sham,F,46,473,10.2826087
Oct_3_Sham,F,46,422,9.173913043
Oct_3_Sham,F,46,529,11.5
Oct_3_Sham,F,46,509,11.06521739
Oct_3_Sham,F,46,459,9.97826087
Oct_3_Sham,F,47,474,10.08510638
Oct_3_Sham,F,47,497,10.57446809
Oct_3_Sham,F,47,528,11.23404255
Oct_3_Sham,F,47,424,9.021276596
Oct_3_Sham,F,48,440,9.166666667
Oct_3_Sham,F,48,572,11.91666667
Oct_3_Sham,F,48,534,11.125
Oct_4_Sham,F,39,448,11.48717949
Oct_4_Sham,F,40,397,9.925
Oct_4_Sham,F,40,491,12.275
Oct_4_Sham,F,40,374,9.35
Oct_4_Sham,F,40,435,10.875
Oct_4_Sham,F,40,384,9.6
Oct_4_Sham,F,40,406,10.15
Oct_4_Sham,F,40,370,9.25
Oct_4_Sham,F,40,440,11
Oct_4_Sham,F,41,430,10.48780488
Oct_4_Sham,F,41,399,9.731707317
Oct_4_Sham,F,41,377,9.195121951
Oct_4_Sham,F,41,387,9.43902439
Oct_4_Sham,F,41,388,9.463414634
Oct_4_Sham,F,41,436,10.63414634
Oct_4_Sham,F,41,429,10.46341463
Oct_4_Sham,F,41,478,11.65853659
Oct_4_Sham,F,41,382,9.317073171
Oct_4_Sham,F,41,380,9.268292683
Oct_4_Sham,F,41,389,9.487804878
Oct_4_Sham,F,41,424,10.34146341
Oct_4_Sham,F,41,474,11.56097561
Oct_4_Sham,F,41,479,11.68292683
Oct_4_Sham,F,41,385,9.390243902
Oct_4_Sham,F,41,397,9.682926829
Oct_4_Sham,F,41,384,9.365853659
Oct_4_Sham,F,41,388,9.463414634
Oct_4_Sham,F,41,345,8.414634146
Oct_4_Sham,F,42,396,9.428571429
Oct_4_Sham,F,42,477,11.35714286
Oct_4_Sham,F,42,419,9.976190476
Oct_4_Sham,F,42,414,9.857142857
Oct_4_Sham,F,42,527,12.54761905
Oct_4_Sham,F,42,400,9.523809524
Oct_4_Sham,F,42,371,8.833333333
Oct_4_Sham,F,42,469,11.16666667
Oct_4_Sham,F,43,393,9.139534884
Oct_4_Sham,F,43,375,8.720930233
Oct_4_Sham,F,43,427,9.930232558
Oct_4_Sham,F,46,545,11.84782609
Oct_4_Sham,F,46,422,9.173913043
Oct_4_Sham,F,47,397,8.446808511
Oct_5_Sham,F,38,394,10.36842105
Oct_5_Sham,F,38,415,10.92105263
Oct_5_Sham,F,38,362,9.526315789
Oct_5_Sham,F,39,431,11.05128205
Oct_5_Sham,F,39,559,14.33333333
Oct_5_Sham,F,39,488,12.51282051
Oct_5_Sham,F,39,401,10.28205128
Oct_5_Sham,F,39,459,11.76923077
Oct_5_Sham,F,39,473,12.12820513
Oct_5_Sham,F,39,465,11.92307692
Oct_5_Sham,F,39,390,10
Oct_5_Sham,F,39,498,12.76923077
Oct_5_Sham,F,39,391,10.02564103
Oct_5_Sham,F,39,437,11.20512821
Oct_5_Sham,F,39,475,12.17948718
Oct_5_Sham,F,39,373,9.564102564
Oct_5_Sham,F,39,391,10.02564103
Oct_5_Sham,F,39,445,11.41025641
Oct_5_Sham,F,39,435,11.15384615
Oct_5_Sham,F,39,465,11.92307692
Oct_5_Sham,F,39,414,10.61538462
Oct_5_Sham,F,39,381,9.769230769
Oct_5_Sham,F,39,448,11.48717949
Oct_5_Sham,F,39,364,9.333333333
Oct_5_Sham,F,39,448,11.48717949
Oct_5_Sham,F,39,457,11.71794872
Oct_5_Sham,F,39,406,10.41025641
Oct_5_Sham,F,39,418,10.71794872
Oct_5_Sham,F,39,446,11.43589744
Oct_5_Sham,F,39,426,10.92307692
Oct_5_Sham,F,40,374,9.35
Oct_5_Sham,F,40,460,11.5
Oct_5_Sham,F,40,408,10.2
Oct_5_Sham,F,40,375,9.375
Oct_5_Sham,F,40,454,11.35
Oct_5_Sham,F,40,385,9.625
Oct_5_Sham,F,40,461,11.525
Oct_5_Sham,F,40,442,11.05
Oct_5_Sham,F,40,418,10.45
Oct_5_Sham,F,40,300,7.5
Oct_5_Sham,F,40,387,9.675
Oct_5_Sham,F,40,412,10.3
Oct_5_Sham,F,40,401,10.025
Oct_5_Sham,F,40,424,10.6
Oct_5_Sham,F,40,447,11.175
Oct_5_Sham,F,40,396,9.9
Oct_5_Sham,F,40,445,11.125
Oct_5_Sham,F,40,486,12.15
Oct_5_Sham,F,40,404,10.1
Oct_5_Sham,F,41,387,9.43902439
Oct_5_Sham,F,41,393,9.585365854
Oct_5_Sham,F,41,472,11.51219512
Oct_5_Sham,F,41,460,11.2195122
Oct_5_Sham,F,41,464,11.31707317
Oct_5_Sham,F,41,413,10.07317073
Oct_5_Sham,F,41,438,10.68292683
Oct_5_Sham,F,41,431,10.51219512
Oct_5_Sham,F,41,400,9.756097561
Oct_5_Sham,F,42,423,10.07142857
Oct_3_IR,F,41,381,9.292682927
Oct_3_IR,F,41,381,9.292682927
Oct_3_IR,F,41,389,9.487804878
Oct_3_IR,F,41,375,9.146341463
Oct_3_IR,F,41,414,10.09756098
Oct_3_IR,F,41,346,8.43902439
Oct_3_IR,F,41,376,9.170731707
Oct_3_IR,F,41,442,10.7804878
Oct_3_IR,F,41,377,9.195121951
Oct_3_IR,F,41,403,9.829268293
Oct_3_IR,F,41,381,9.292682927
Oct_3_IR,F,41,390,9.512195122
Oct_3_IR,F,41,345,8.414634146
Oct_3_IR,F,42,314,7.476190476
Oct_3_IR,F,42,374,8.904761905
Oct_3_IR,F,42,365,8.69047619
Oct_3_IR,F,42,400,9.523809524
Oct_3_IR,F,42,369,8.785714286
Oct_3_IR,F,42,374,8.904761905
Oct_3_IR,F,42,437,10.4047619
Oct_3_IR,F,42,366,8.714285714
Oct_3_IR,F,42,336,8
Oct_3_IR,F,42,355,8.452380952
Oct_3_IR,F,42,405,9.642857143
Oct_3_IR,F,42,388,9.238095238
Oct_3_IR,F,42,343,8.166666667
Oct_3_IR,F,42,358,8.523809524
Oct_3_IR,F,43,366,8.511627907
Oct_3_IR,F,43,369,8.581395349
Oct_3_IR,F,45,511,11.35555556
Oct_3_IR,F,46,447,9.717391304
Oct_3_IR,F,46,584,12.69565217
Oct_3_IR,F,46,513,11.15217391
Oct_3_IR,F,46,509,11.06521739
