Treatment,Date,Group,Sex,Time,Weight,GR,Notes,Ctime
sham,oct 3rd,Oct_3_Sham,M,42,368,8.761904762,,-4.913043478
sham,oct 3rd,Oct_3_Sham,M,42,399,9.5,,-4.913043478
sham,oct 3rd,Oct_3_Sham,M,43,335,7.790697674,,-3.913043478
sham,oct 3rd,Oct_3_Sham,M,43,367,8.534883721,,-3.913043478
sham,oct 3rd,Oct_3_Sham,M,43,333,7.744186047,,-3.913043478
sham,oct 3rd,Oct_3_Sham,M,43,356,8.279069767,,-3.913043478
sham,oct 3rd,Oct_3_Sham,M,43,418,9.720930233,,-3.913043478
sham,oct 3rd,Oct_3_Sham,M,44,342,7.772727273,,-2.913043478
sham,oct 3rd,Oct_3_Sham,M,46,477,10.36956522,,-0.913043478
sham,oct 3rd,Oct_3_Sham,M,46,447,9.717391304,,-0.913043478
sham,oct 3rd,Oct_3_Sham,M,46,441,9.586956522,,-0.913043478
sham,oct 3rd,Oct_3_Sham,M,46,418,9.086956522,,-0.913043478
sham,oct 3rd,Oct_3_Sham,M,46,448,9.739130435,,-0.913043478
sham,oct 3rd,Oct_3_Sham,M,47,439,9.340425532,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,470,10,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,497,10.57446809,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,502,10.68085106,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,396,8.425531915,MISSING HIND LEG X1,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,407,8.659574468,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,454,9.659574468,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,479,10.19148936,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,463,9.85106383,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,517,11,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,480,10.21276596,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,508,10.80851064,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,482,10.25531915,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,47,505,10.74468085,,0.086956522
sham,oct 3rd,Oct_3_Sham,M,48,475,9.895833333,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,457,9.520833333,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,448,9.333333333,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,477,9.9375,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,423,8.8125,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,491,10.22916667,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,460,9.583333333,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,530,11.04166667,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,533,11.10416667,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,48,478,9.958333333,,1.086956522
sham,oct 3rd,Oct_3_Sham,M,49,544,11.10204082,,2.086956522
sham,oct 3rd,Oct_3_Sham,M,49,427,8.714285714,,2.086956522
sham,oct 3rd,Oct_3_Sham,M,49,367,7.489795918,STUCK SHED,2.086956522
sham,oct 3rd,Oct_3_Sham,M,49,407,8.306122449,,2.086956522
sham,oct 3rd,Oct_3_Sham,M,49,503,10.26530612,,2.086956522
sham,oct 3rd,Oct_3_Sham,M,50,406,8.12,,3.086956522
sham,oct 3rd,Oct_3_Sham,M,50,556,11.12,,3.086956522
sham,oct 3rd,Oct_3_Sham,M,50,413,8.26,,3.086956522
sham,oct 3rd,Oct_3_Sham,M,52,317,6.096153846,,5.086956522
sham,oct 4th,Oct_4_Sham,M,46,349,7.586956522,,1.083333333
sham,oct 4th,Oct_4_Sham,M,45,395,8.777777778,,0.083333333
sham,oct 4th,Oct_4_Sham,M,45,443,9.844444444,,0.083333333
sham,oct 4th,Oct_4_Sham,M,46,461,10.02173913,,1.083333333
sham,oct 4th,Oct_4_Sham,M,45,424,9.422222222,,0.083333333
sham,oct 4th,Oct_4_Sham,M,46,396,8.608695652,,1.083333333
sham,oct 4th,Oct_4_Sham,M,45,359,7.977777778,,0.083333333
sham,oct 4th,Oct_4_Sham,M,45,380,8.444444444,,0.083333333
