Group,Sex,Time,Weight,GR
Oct_3_Sham,F,40,329,8.225
Oct_3_Sham,F,41,338,8.243902439
Oct_3_Sham,F,41,346,8.43902439
Oct_3_Sham,F,41,457,11.14634146
Oct_3_Sham,F,41,370,9.024390244
Oct_3_Sham,F,41,405,9.87804878
Oct_3_Sham,F,41,404,9.853658537
Oct_3_Sham,F,41,360,8.780487805
Oct_3_Sham,F,41,333,8.12195122
Oct_3_Sham,M,42,334,7.952380952
Oct_3_Sham,M,42,338,8.047619048
Oct_3_Sham,M,42,376,8.952380952
Oct_3_Sham,M,42,264,6.285714286
Oct_3_Sham,F,42,376,8.952380952
Oct_3_Sham,F,42,436,10.38095238
Oct_3_Sham,F,42,453,10.78571429
Oct_3_Sham,F,42,364,8.666666667
Oct_3_Sham,F,42,375,8.928571429
Oct_3_Sham,F,42,324,7.714285714
Oct_3_Sham,F,42,365,8.69047619
Oct_3_Sham,F,42,381,9.071428571
Oct_3_Sham,F,42,363,8.642857143
Oct_3_Sham,F,42,396,9.428571429
Oct_3_Sham,F,42,375,8.928571429
Oct_3_Sham,F,42,343,8.166666667
Oct_3_Sham,F,42,352,8.380952381
Oct_3_Sham,F,42,389,9.261904762
Oct_3_Sham,M,43,385,8.953488372
Oct_3_Sham,M,43,363,8.441860465
Oct_3_Sham,M,43,354,8.23255814
Oct_3_Sham,M,43,297,6.906976744
Oct_3_Sham,M,43,362,8.418604651
Oct_3_Sham,M,43,356,8.279069767
Oct_3_Sham,M,43,345,8.023255814
Oct_3_Sham,F,43,509,11.8372093
Oct_3_Sham,F,43,375,8.720930233
Oct_3_Sham,F,43,413,9.604651163
Oct_3_Sham,F,43,459,10.6744186
Oct_3_Sham,F,43,391,9.093023256
Oct_3_Sham,F,43,449,10.44186047
Oct_3_Sham,M,44,293,6.659090909
Oct_3_Sham,M,44,354,8.045454545
Oct_3_Sham,M,44,295,6.704545455
Oct_3_Sham,M,44,387,8.795454545
Oct_3_Sham,M,44,335,7.613636364
Oct_3_Sham,M,44,313,7.113636364
Oct_3_Sham,M,44,309,7.022727273
Oct_3_Sham,M,44,313,7.113636364
Oct_3_Sham,M,44,359,8.159090909
Oct_3_Sham,M,44,336,7.636363636
Oct_3_Sham,M,44,370,8.409090909
Oct_3_Sham,M,44,350,7.954545455
Oct_3_Sham,F,44,367,8.340909091
Oct_3_Sham,M,45,354,7.866666667
Oct_3_Sham,M,45,356,7.911111111
Oct_3_Sham,M,45,292,6.488888889
Oct_3_Sham,M,45,376,8.355555556
Oct_3_Sham,M,45,336,7.466666667
Oct_3_Sham,M,45,354,7.866666667
Oct_3_Sham,M,45,317,7.044444444
Oct_3_Sham,F,45,470,10.44444444
Oct_3_Sham,M,46,456,9.913043478
Oct_3_Sham,F,46,479,10.41304348
Oct_3_Sham,F,46,527,11.45652174
Oct_3_Sham,F,46,485,10.54347826
Oct_3_Sham,F,46,463,10.06521739
Oct_3_Sham,F,46,473,10.2826087
Oct_3_Sham,F,46,422,9.173913043
Oct_3_Sham,F,46,529,11.5
Oct_3_Sham,F,46,509,11.06521739
Oct_3_Sham,F,46,459,9.97826087
Oct_3_Sham,M,47,482,10.25531915
Oct_3_Sham,M,47,475,10.10638298
Oct_3_Sham,M,47,417,8.872340426
Oct_3_Sham,M,47,397,8.446808511
Oct_3_Sham,M,47,449,9.553191489
Oct_3_Sham,F,47,474,10.08510638
Oct_3_Sham,F,47,497,10.57446809
Oct_3_Sham,F,47,528,11.23404255
Oct_3_Sham,F,47,424,9.021276596
Oct_3_Sham,M,48,498,10.375
Oct_3_Sham,M,48,496,10.33333333
Oct_3_Sham,M,48,449,9.354166667
Oct_3_Sham,M,48,427,8.895833333
Oct_3_Sham,M,48,411,8.5625
Oct_3_Sham,M,48,409,8.520833333
Oct_3_Sham,M,48,423,8.8125
Oct_3_Sham,M,48,519,10.8125
Oct_3_Sham,M,48,456,9.5
Oct_3_Sham,M,48,464,9.666666667
Oct_3_Sham,M,48,376,7.833333333
Oct_3_Sham,M,48,435,9.0625
Oct_3_Sham,M,48,500,10.41666667
Oct_3_Sham,F,48,440,9.166666667
Oct_3_Sham,F,48,572,11.91666667
Oct_3_Sham,F,48,534,11.125
Oct_3_Sham,M,49,417,8.510204082
Oct_3_Sham,M,49,460,9.387755102
Oct_3_Sham,M,49,498,10.16326531
Oct_3_Sham,M,50,465,9.3
Oct_3_Sham,M,50,446,8.92
Oct_4_Sham,F,39,448,11.48717949
Oct_4_Sham,F,40,397,9.925
Oct_4_Sham,F,40,491,12.275
Oct_4_Sham,F,40,374,9.35
Oct_4_Sham,F,40,435,10.875
Oct_4_Sham,F,40,384,9.6
Oct_4_Sham,F,40,406,10.15
Oct_4_Sham,F,40,370,9.25
Oct_4_Sham,F,40,440,11
Oct_4_Sham,M,41,409,9.975609756
Oct_4_Sham,M,41,384,9.365853659
Oct_4_Sham,F,41,430,10.48780488
Oct_4_Sham,F,41,399,9.731707317
Oct_4_Sham,F,41,377,9.195121951
Oct_4_Sham,F,41,387,9.43902439
Oct_4_Sham,F,41,388,9.463414634
Oct_4_Sham,F,41,436,10.63414634
Oct_4_Sham,F,41,429,10.46341463
Oct_4_Sham,F,41,478,11.65853659
Oct_4_Sham,F,41,382,9.317073171
Oct_4_Sham,F,41,380,9.268292683
Oct_4_Sham,F,41,389,9.487804878
Oct_4_Sham,F,41,424,10.34146341
Oct_4_Sham,F,41,474,11.56097561
Oct_4_Sham,F,41,479,11.68292683
Oct_4_Sham,F,41,385,9.390243902
Oct_4_Sham,F,41,397,9.682926829
Oct_4_Sham,F,41,384,9.365853659
Oct_4_Sham,F,41,388,9.463414634
Oct_4_Sham,F,41,345,8.414634146
Oct_4_Sham,M,42,321,7.642857143
Oct_4_Sham,M,42,415,9.880952381
Oct_4_Sham,M,42,379,9.023809524
Oct_4_Sham,M,42,398,9.476190476
Oct_4_Sham,M,42,410,9.761904762
Oct_4_Sham,M,42,425,10.11904762
Oct_4_Sham,M,42,389,9.261904762
Oct_4_Sham,M,42,347,8.261904762
Oct_4_Sham,M,42,373,8.880952381
Oct_4_Sham,M,42,356,8.476190476
Oct_4_Sham,M,42,412,9.80952381
Oct_4_Sham,F,42,396,9.428571429
Oct_4_Sham,F,42,477,11.35714286
Oct_4_Sham,F,42,419,9.976190476
Oct_4_Sham,F,42,414,9.857142857
Oct_4_Sham,F,42,527,12.54761905
Oct_4_Sham,F,42,400,9.523809524
Oct_4_Sham,F,42,371,8.833333333
Oct_4_Sham,F,42,469,11.16666667
Oct_4_Sham,M,43,362,8.418604651
Oct_4_Sham,M,43,326,7.581395349
Oct_4_Sham,M,43,379,8.813953488
Oct_4_Sham,M,43,351,8.162790698
Oct_4_Sham,M,43,382,8.88372093
Oct_4_Sham,M,43,420,9.76744186
Oct_4_Sham,M,43,424,9.860465116
Oct_4_Sham,M,43,355,8.255813953
Oct_4_Sham,M,43,379,8.813953488
Oct_4_Sham,M,43,373,8.674418605
Oct_4_Sham,M,43,416,9.674418605
Oct_4_Sham,M,43,421,9.790697674
Oct_4_Sham,F,43,393,9.139534884
Oct_4_Sham,F,43,375,8.720930233
Oct_4_Sham,F,43,427,9.930232558
Oct_4_Sham,M,44,363,8.25
Oct_4_Sham,M,44,405,9.204545455
Oct_4_Sham,M,44,374,8.5
Oct_4_Sham,M,44,435,9.886363636
Oct_4_Sham,M,44,344,7.818181818
Oct_4_Sham,M,44,340,7.727272727
Oct_4_Sham,M,45,384,8.533333333
Oct_4_Sham,M,45,375,8.333333333
Oct_4_Sham,F,46,545,11.84782609
Oct_4_Sham,F,46,422,9.173913043
Oct_4_Sham,M,47,451,9.595744681
Oct_4_Sham,M,47,455,9.680851064
Oct_4_Sham,F,47,397,8.446808511
Oct_4_Sham,M,50,379,7.58
