Group,Sex,Time,Weight,GR
Sham,F,-4.683168317,329,8.225
Sham,F,-3.683168317,338,8.243902439
Sham,F,-3.683168317,346,8.43902439
Sham,F,-3.683168317,457,11.14634146
Sham,F,-3.683168317,370,9.024390244
Sham,F,-3.683168317,405,9.87804878
Sham,F,-3.683168317,404,9.853658537
Sham,F,-3.683168317,360,8.780487805
Sham,F,-3.683168317,333,8.12195122
Sham,M,-2.683168317,334,7.952380952
Sham,M,-2.683168317,338,8.047619048
Sham,M,-2.683168317,376,8.952380952
Sham,M,-2.683168317,264,6.285714286
Sham,F,-2.683168317,376,8.952380952
Sham,F,-2.683168317,436,10.38095238
Sham,F,-2.683168317,453,10.78571429
Sham,F,-2.683168317,364,8.666666667
Sham,F,-2.683168317,375,8.928571429
Sham,F,-2.683168317,324,7.714285714
Sham,F,-2.683168317,365,8.69047619
Sham,F,-2.683168317,381,9.071428571
Sham,F,-2.683168317,363,8.642857143
Sham,F,-2.683168317,396,9.428571429
Sham,F,-2.683168317,375,8.928571429
Sham,F,-2.683168317,343,8.166666667
Sham,F,-2.683168317,352,8.380952381
Sham,F,-2.683168317,389,9.261904762
Sham,M,-1.683168317,385,8.953488372
Sham,M,-1.683168317,363,8.441860465
Sham,M,-1.683168317,354,8.23255814
Sham,M,-1.683168317,297,6.906976744
Sham,M,-1.683168317,362,8.418604651
Sham,M,-1.683168317,356,8.279069767
Sham,M,-1.683168317,345,8.023255814
Sham,F,-1.683168317,509,11.8372093
Sham,F,-1.683168317,375,8.720930233
Sham,F,-1.683168317,413,9.604651163
Sham,F,-1.683168317,459,10.6744186
Sham,F,-1.683168317,391,9.093023256
Sham,F,-1.683168317,449,10.44186047
Sham,M,-0.683168317,293,6.659090909
Sham,M,-0.683168317,354,8.045454545
Sham,M,-0.683168317,295,6.704545455
Sham,M,-0.683168317,387,8.795454545
Sham,M,-0.683168317,335,7.613636364
Sham,M,-0.683168317,313,7.113636364
Sham,M,-0.683168317,309,7.022727273
Sham,M,-0.683168317,313,7.113636364
Sham,M,-0.683168317,359,8.159090909
Sham,M,-0.683168317,336,7.636363636
Sham,M,-0.683168317,370,8.409090909
Sham,M,-0.683168317,350,7.954545455
Sham,F,-0.683168317,367,8.340909091
Sham,M,0.316831683,354,7.866666667
Sham,M,0.316831683,356,7.911111111
Sham,M,0.316831683,292,6.488888889
Sham,M,0.316831683,376,8.355555556
Sham,M,0.316831683,336,7.466666667
Sham,M,0.316831683,354,7.866666667
Sham,M,0.316831683,317,7.044444444
Sham,F,0.316831683,470,10.44444444
Sham,M,1.316831683,456,9.913043478
Sham,F,1.316831683,479,10.41304348
Sham,F,1.316831683,527,11.45652174
Sham,F,1.316831683,485,10.54347826
Sham,F,1.316831683,463,10.06521739
Sham,F,1.316831683,473,10.2826087
Sham,F,1.316831683,422,9.173913043
Sham,F,1.316831683,529,11.5
Sham,F,1.316831683,509,11.06521739
Sham,F,1.316831683,459,9.97826087
Sham,M,2.316831683,482,10.25531915
Sham,M,2.316831683,475,10.10638298
Sham,M,2.316831683,417,8.872340426
Sham,M,2.316831683,397,8.446808511
Sham,M,2.316831683,449,9.553191489
Sham,F,2.316831683,474,10.08510638
Sham,F,2.316831683,497,10.57446809
Sham,F,2.316831683,528,11.23404255
Sham,F,2.316831683,424,9.021276596
Sham,M,3.316831683,498,10.375
Sham,M,3.316831683,496,10.33333333
Sham,M,3.316831683,449,9.354166667
Sham,M,3.316831683,427,8.895833333
Sham,M,3.316831683,411,8.5625
Sham,M,3.316831683,409,8.520833333
Sham,M,3.316831683,423,8.8125
Sham,M,3.316831683,519,10.8125
Sham,M,3.316831683,456,9.5
Sham,M,3.316831683,464,9.666666667
Sham,M,3.316831683,376,7.833333333
Sham,M,3.316831683,435,9.0625
Sham,M,3.316831683,500,10.41666667
Sham,F,3.316831683,440,9.166666667
Sham,F,3.316831683,572,11.91666667
Sham,F,3.316831683,534,11.125
Sham,M,4.316831683,417,8.510204082
Sham,M,4.316831683,460,9.387755102
Sham,M,4.316831683,498,10.16326531
Sham,M,5.316831683,465,9.3
Sham,M,5.316831683,446,8.92
Sham,F,-3.307692308,448,11.48717949
Sham,F,-2.307692308,397,9.925
Sham,F,-2.307692308,491,12.275
Sham,F,-2.307692308,374,9.35
Sham,F,-2.307692308,435,10.875
Sham,F,-2.307692308,384,9.6
Sham,F,-2.307692308,406,10.15
Sham,F,-2.307692308,370,9.25
Sham,F,-2.307692308,440,11
Sham,M,-1.307692308,409,9.975609756
Sham,M,-1.307692308,384,9.365853659
Sham,F,-1.307692308,430,10.48780488
Sham,F,-1.307692308,399,9.731707317
Sham,F,-1.307692308,377,9.195121951
Sham,F,-1.307692308,387,9.43902439
Sham,F,-1.307692308,388,9.463414634
Sham,F,-1.307692308,436,10.63414634
Sham,F,-1.307692308,429,10.46341463
Sham,F,-1.307692308,478,11.65853659
Sham,F,-1.307692308,382,9.317073171
Sham,F,-1.307692308,380,9.268292683
Sham,F,-1.307692308,389,9.487804878
Sham,F,-1.307692308,424,10.34146341
Sham,F,-1.307692308,474,11.56097561
Sham,F,-1.307692308,479,11.68292683
Sham,F,-1.307692308,385,9.390243902
Sham,F,-1.307692308,397,9.682926829
Sham,F,-1.307692308,384,9.365853659
Sham,F,-1.307692308,388,9.463414634
Sham,F,-1.307692308,345,8.414634146
Sham,M,-0.307692308,321,7.642857143
Sham,M,-0.307692308,415,9.880952381
Sham,M,-0.307692308,379,9.023809524
Sham,M,-0.307692308,398,9.476190476
Sham,M,-0.307692308,410,9.761904762
Sham,M,-0.307692308,425,10.11904762
Sham,M,-0.307692308,389,9.261904762
Sham,M,-0.307692308,347,8.261904762
Sham,M,-0.307692308,373,8.880952381
Sham,M,-0.307692308,356,8.476190476
Sham,M,-0.307692308,412,9.80952381
Sham,F,-0.307692308,396,9.428571429
Sham,F,-0.307692308,477,11.35714286
Sham,F,-0.307692308,419,9.976190476
Sham,F,-0.307692308,414,9.857142857
Sham,F,-0.307692308,527,12.54761905
Sham,F,-0.307692308,400,9.523809524
Sham,F,-0.307692308,371,8.833333333
Sham,F,-0.307692308,469,11.16666667
Sham,M,0.692307692,362,8.418604651
Sham,M,0.692307692,326,7.581395349
Sham,M,0.692307692,379,8.813953488
Sham,M,0.692307692,351,8.162790698
Sham,M,0.692307692,382,8.88372093
Sham,M,0.692307692,420,9.76744186
Sham,M,0.692307692,424,9.860465116
Sham,M,0.692307692,355,8.255813953
Sham,M,0.692307692,379,8.813953488
Sham,M,0.692307692,373,8.674418605
Sham,M,0.692307692,416,9.674418605
Sham,M,0.692307692,421,9.790697674
Sham,F,0.692307692,393,9.139534884
Sham,F,0.692307692,375,8.720930233
Sham,F,0.692307692,427,9.930232558
Sham,M,1.692307692,363,8.25
Sham,M,1.692307692,405,9.204545455
Sham,M,1.692307692,374,8.5
Sham,M,1.692307692,435,9.886363636
Sham,M,1.692307692,344,7.818181818
Sham,M,1.692307692,340,7.727272727
Sham,M,2.692307692,384,8.533333333
Sham,M,2.692307692,375,8.333333333
Sham,F,3.692307692,545,11.84782609
Sham,F,3.692307692,422,9.173913043
Sham,M,4.692307692,451,9.595744681
Sham,M,4.692307692,455,9.680851064
Sham,F,4.692307692,397,8.446808511
Sham,M,7.692307692,379,7.58
Sham,F,-2.556521739,394,10.36842105
Sham,F,-2.556521739,415,10.92105263
Sham,F,-2.556521739,362,9.526315789
Sham,M,-1.556521739,392,10.05128205
Sham,F,-1.556521739,431,11.05128205
Sham,F,-1.556521739,559,14.33333333
Sham,F,-1.556521739,488,12.51282051
Sham,F,-1.556521739,401,10.28205128
Sham,F,-1.556521739,459,11.76923077
Sham,F,-1.556521739,473,12.12820513
Sham,F,-1.556521739,465,11.92307692
Sham,F,-1.556521739,390,10
Sham,F,-1.556521739,498,12.76923077
Sham,F,-1.556521739,391,10.02564103
Sham,F,-1.556521739,437,11.20512821
Sham,F,-1.556521739,475,12.17948718
Sham,F,-1.556521739,373,9.564102564
Sham,F,-1.556521739,391,10.02564103
Sham,F,-1.556521739,445,11.41025641
Sham,F,-1.556521739,435,11.15384615
Sham,F,-1.556521739,465,11.92307692
Sham,F,-1.556521739,414,10.61538462
Sham,F,-1.556521739,381,9.769230769
Sham,F,-1.556521739,448,11.48717949
Sham,F,-1.556521739,364,9.333333333
Sham,F,-1.556521739,448,11.48717949
Sham,F,-1.556521739,457,11.71794872
